Intervalo	Inicio	Fin	Count	Q	u/R	Sigma	q_Comulate	q/Q
(0.5, 0.51)	0.5	0.51	0	1.0	0.505	0.0	0	0.0
(0.51, 0.52)	0.51	0.52	0	1.0	0.515	0.0	0	0.0
(0.52, 0.53)	0.52	0.53	0	1.0	0.525	0.0	0	0.0
(0.53, 0.54)	0.53	0.54	0	1.0	0.535	0.0	0	0.0
(0.54, 0.55)	0.54	0.55	0	1.0	0.545	0.0	0	0.0
(0.55, 0.56)	0.55	0.56	0	1.0	0.555	0.0	0	0.0
(0.56, 0.5700000000000001)	0.56	0.5700000000000001	0	1.0	0.5650000000000001	0.0	0	0.0
(0.5700000000000001, 0.58)	0.5700000000000001	0.58	0	1.0	0.575	0.0	0	0.0
(0.58, 0.59)	0.58	0.59	0	1.0	0.585	0.0	0	0.0
(0.59, 0.6)	0.59	0.6	0	1.0	0.595	0.0	0	0.0
(0.6, 0.61)	0.6	0.61	0	1.0	0.605	0.0	0	0.0
(0.61, 0.62)	0.61	0.62	0	1.0	0.615	0.0	0	0.0
(0.62, 0.63)	0.62	0.63	4	1.0	0.625	101.85916357881293	4	2e-05
(0.63, 0.64)	0.63	0.64	2	1.0	0.635	50.12754113130566	6	3e-05
(0.64, 0.65)	0.64	0.65	7	1.0	0.645	172.72629482841324	13	6.5e-05
(0.65, 0.66)	0.65	0.66	5	1.0	0.655	121.49232297091248	18	9e-05
(0.66, 0.67)	0.66	0.67	8	1.0	0.665	191.46459319325706	26	0.00013
(0.67, 0.6799999999999999)	0.67	0.6799999999999999	7	1.0	0.675	165.0495706138193	33	0.000165
(0.6799999999999999, 0.69)	0.6799999999999999	0.69	13	1.0	0.6849999999999999	302.0458774006775	46	0.00023
(0.69, 0.7)	0.69	0.7	14	1.0	0.695	320.5998853649685	60	0.0003
(0.7, 0.71)	0.7	0.71	24	1.0	0.705	541.8040615894288	84	0.00042
(0.71, 0.72)	0.71	0.72	42	1.0	0.715	934.8961692111349	126	0.00063
(0.72, 0.73)	0.72	0.73	52	1.0	0.725	1141.525109072908	178	0.00089
(0.73, 0.74)	0.73	0.74	64	1.0	0.735	1385.838960255955	242	0.00121
(0.74, 0.75)	0.74	0.75	86	1.0	0.745	1837.2248464299298	328	0.00164
(0.75, 0.76)	0.75	0.76	108	1.0	0.755	2276.653490586052	436	0.00218
(0.76, 0.77)	0.76	0.77	117	1.0	0.765	2434.134423758402	553	0.002765
(0.77, 0.78)	0.77	0.78	192	1.0	0.775	3942.9353643411314	745	0.003725
(0.78, 0.79)	0.78	0.79	248	1.0	0.785	5028.079730801264	993	0.004965
(0.79, 0.8)	0.79	0.8	315	1.0	0.795	6306.139254584522	1308	0.00654
(0.8, 0.81)	0.8	0.81	412	1.0	0.805	8145.569758243586	1720	0.0086
(0.81, 0.8200000000000001)	0.81	0.8200000000000001	520	1.0	0.8150000000000001	10154.671215679224	2240	0.0112
(0.8200000000000001, 0.8300000000000001)	0.8200000000000001	0.8300000000000001	760	1.0	0.8250000000000001	14661.54627270797	3000	0.015
(0.8300000000000001, 0.8400000000000001)	0.8300000000000001	0.8400000000000001	875	1.0	0.8350000000000001	16677.91319825246	3875	0.019375
(0.8400000000000001, 0.8500000000000001)	0.8400000000000001	0.8500000000000001	1222	1.0	0.8450000000000001	23016.25330867406	5097	0.025485
(0.8500000000000001, 0.86)	0.8500000000000001	0.86	1525	1.0	0.855	28387.28517136181	6622	0.03311
(0.86, 0.87)	0.86	0.87	2110	1.0	0.865	38822.76646519045	8732	0.04366
(0.87, 0.88)	0.87	0.88	2550	1.0	0.875	46382.297701066746	11282	0.05641
(0.88, 0.89)	0.88	0.89	3297	1.0	0.885	59291.96015525169	14579	0.072895
(0.89, 0.9)	0.89	0.9	4186	1.0	0.895	74438.27841147184	18765	0.093825
(0.9, 0.91)	0.9	0.91	5194	1.0	0.905	91342.62700765792	23959	0.119795
(0.91, 0.9199999999999999)	0.91	0.9199999999999999	6561	1.0	0.915	114121.92148917365	30520	0.1526
(0.9199999999999999, 0.9299999999999999)	0.9199999999999999	0.9299999999999999	8363	1.0	0.9249999999999999	143893.27449486655	38883	0.194415
(0.9299999999999999, 0.94)	0.9299999999999999	0.94	10370	1.0	0.9349999999999999	176517.30052010162	49253	0.246265
(0.94, 0.95)	0.94	0.95	13130	1.0	0.945	221132.7410366754	62383	0.311915
(0.95, 0.96)	0.95	0.96	16561	1.0	0.955	275996.3363921338	78944	0.39472
(0.96, 0.97)	0.96	0.97	20936	1.0	0.965	345292.0091784377	99880	0.4994
(0.97, 0.98)	0.97	0.98	26036	1.0	0.975	425000.8305990354	125916	0.62958
(0.98, 0.99)	0.98	0.99	33024	1.0	0.985	533597.2427072831	158940	0.7947
(0.99, 1.0)	0.99	1.0	41060	1.0	0.995	656774.0666686647	200000	1.0
